granularite,datum,Year,Month,Weekday Name,Hour,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
Hourly,2014-02-01 08:00:00,2014,1,Thursday,8,0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0
Hourly,2014-02-01 09:00:00,2014,1,Thursday,9,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
Hourly,2014-02-01 10:00:00,2014,1,Thursday,10,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
Hourly,2014-02-01 11:00:00,2014,1,Thursday,11,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Hourly,2014-02-01 12:00:00,2014,1,Thursday,12,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0
Hourly,2014-02-01 13:00:00,2014,1,Thursday,13,0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0
Hourly,2014-02-01 14:00:00,2014,1,Thursday,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 15:00:00,2014,1,Thursday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 16:00:00,2014,1,Thursday,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 17:00:00,2014,1,Thursday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 18:00:00,2014,1,Thursday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 19:00:00,2014,1,Thursday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 20:00:00,2014,1,Thursday,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 21:00:00,2014,1,Thursday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 22:00:00,2014,1,Thursday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-02-01 23:00:00,2014,1,Thursday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 00:00:00,2014,1,Friday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 01:00:00,2014,1,Friday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 02:00:00,2014,1,Friday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 03:00:00,2014,1,Friday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 04:00:00,2014,1,Friday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 05:00:00,2014,1,Friday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 06:00:00,2014,1,Friday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 07:00:00,2014,1,Friday,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hourly,2014-03-01 08:00:00,2014,1,Friday,8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
Hourly,2014-03-01 09:00:00,2014,1,Friday,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 10:00:00,2014,1,Friday,10,1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0
Hourly,2014-03-01 11:00:00,2014,1,Friday,11,4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0
Hourly,2014-03-01 12:00:00,2014,1,Friday,12,0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0
Hourly,2014-03-01 13:00:00,2014,1,Friday,13,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0
Hourly,2014-03-01 14:00:00,2014,1,Friday,14,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
Hourly,2014-03-01 15:00:00,2014,1,Friday,15,1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0
Hourly,2014-03-01 16:00:00,2014,1,Friday,16,0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0
Hourly,2014-03-01 17:00:00,2014,1,Friday,17,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0
Hourly,2014-03-01 18:00:00,2014,1,Friday,18,0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0
Hourly,2014-03-01 19:00:00,2014,1,Friday,19,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Hourly,2014-03-01 20:00:00,2014,1,Friday,20,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 21:00:00,2014,1,Friday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 22:00:00,2014,1,Friday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-03-01 23:00:00,2014,1,Friday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 00:00:00,2014,1,Saturday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 01:00:00,2014,1,Saturday,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 02:00:00,2014,1,Saturday,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 03:00:00,2014,1,Saturday,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 04:00:00,2014,1,Saturday,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 05:00:00,2014,1,Saturday,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 06:00:00,2014,1,Saturday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 07:00:00,2014,1,Saturday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 08:00:00,2014,1,Saturday,8,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 09:00:00,2014,1,Saturday,9,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 10:00:00,2014,1,Saturday,10,0.0,0.0,1.0,9.0,3.0,0.0,5.0,0.0
Hourly,2014-04-01 11:00:00,2014,1,Saturday,11,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Hourly,2014-04-01 12:00:00,2014,1,Saturday,12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
